ModelID,Scope,FixedEffects,Predictors,Formula,AUC,LogLoss
mod_0,global,,['CLIMATIC_lag1'],Infectious_disease_binary ~ CLIMATIC_lag1,0.5912266721254745,0.5568427703573583
mod_1,global,,['CLIMATIC_lag2'],Infectious_disease_binary ~ CLIMATIC_lag2,0.5966962030391724,0.5581324347661715
mod_2,global,,['CLIMATIC_lag3'],Infectious_disease_binary ~ CLIMATIC_lag3,0.5745610146305721,0.5654407489284455
mod_3,global,,['CLIMATIC_lag4'],Infectious_disease_binary ~ CLIMATIC_lag4,0.5864401152956427,0.5769216040035332
mod_4,global,,['CLIMATIC_lag5'],Infectious_disease_binary ~ CLIMATIC_lag5,0.5581621367911691,0.5907711526289743
mod_5,global,,['CONFLICTS_lag1'],Infectious_disease_binary ~ CONFLICTS_lag1,0.550106089332742,0.566986962356596
mod_6,global,,['CONFLICTS_lag2'],Infectious_disease_binary ~ CONFLICTS_lag2,0.5514079895219384,0.5698759729323081
mod_7,global,,['CONFLICTS_lag3'],Infectious_disease_binary ~ CONFLICTS_lag3,0.5513653317016517,0.5761791032717316
mod_8,global,,['CONFLICTS_lag4'],Infectious_disease_binary ~ CONFLICTS_lag4,0.456298577774499,0.5893044097038077
mod_9,global,,['CONFLICTS_lag5'],Infectious_disease_binary ~ CONFLICTS_lag5,0.448708501127856,0.6000850127619071
mod_10,global,,['ECOLOGICAL_lag1'],Infectious_disease_binary ~ ECOLOGICAL_lag1,0.5036444853855039,0.5676409042715088
mod_11,global,,['ECOLOGICAL_lag2'],Infectious_disease_binary ~ ECOLOGICAL_lag2,0.5010647349968146,0.5702755658078642
mod_12,global,,['ECOLOGICAL_lag3'],Infectious_disease_binary ~ ECOLOGICAL_lag3,0.5032649871777883,0.5761384988622884
mod_13,global,,['ECOLOGICAL_lag4'],Infectious_disease_binary ~ ECOLOGICAL_lag4,0.5074351988955226,0.5888383850468086
mod_14,global,,['ECOLOGICAL_lag5'],Infectious_disease_binary ~ ECOLOGICAL_lag5,0.5050606482058095,0.5998566516623665
mod_15,global,,['ECONOMIC_lag1'],Infectious_disease_binary ~ ECONOMIC_lag1,0.5344087672354549,0.5663175245927009
mod_16,global,,['ECONOMIC_lag2'],Infectious_disease_binary ~ ECONOMIC_lag2,0.5142438376791449,0.57001220209838
mod_17,global,,['ECONOMIC_lag3'],Infectious_disease_binary ~ ECONOMIC_lag3,0.5165461092966881,0.5759998022168087
mod_18,global,,['ECONOMIC_lag4'],Infectious_disease_binary ~ ECONOMIC_lag4,0.5221878244007313,0.5886087269630088
mod_19,global,,['ECONOMIC_lag5'],Infectious_disease_binary ~ ECONOMIC_lag5,0.5383093346803024,0.5974121674841533
mod_20,global,,['GEOPHYSICAL_lag1'],Infectious_disease_binary ~ GEOPHYSICAL_lag1,0.5136019359272419,0.5671117083085092
mod_21,global,,['GEOPHYSICAL_lag2'],Infectious_disease_binary ~ GEOPHYSICAL_lag2,0.5033966828381647,0.5702446375219619
mod_22,global,,['GEOPHYSICAL_lag3'],Infectious_disease_binary ~ GEOPHYSICAL_lag3,0.5145891630876198,0.5754752686143646
mod_23,global,,['GEOPHYSICAL_lag4'],Infectious_disease_binary ~ GEOPHYSICAL_lag4,0.5162141084348142,0.588379556741091
mod_24,global,,['GEOPHYSICAL_lag5'],Infectious_disease_binary ~ GEOPHYSICAL_lag5,0.5263497944949558,0.5975928433954886
mod_25,global,,['TECHNOLOGICAL_lag1'],Infectious_disease_binary ~ TECHNOLOGICAL_lag1,0.5954125705299105,0.5555008405897569
mod_26,global,,['TECHNOLOGICAL_lag2'],Infectious_disease_binary ~ TECHNOLOGICAL_lag2,0.5824160574511403,0.5596501518139033
mod_27,global,,['TECHNOLOGICAL_lag3'],Infectious_disease_binary ~ TECHNOLOGICAL_lag3,0.584692120770424,0.5635592484153914
mod_28,global,,['TECHNOLOGICAL_lag4'],Infectious_disease_binary ~ TECHNOLOGICAL_lag4,0.5901832715929032,0.5721900719262452
mod_29,global,,['TECHNOLOGICAL_lag5'],Infectious_disease_binary ~ TECHNOLOGICAL_lag5,0.5912683997361416,0.5826524126214092
mod_30,global,,"['CLIMATIC_lag1', 'CLIMATIC_lag2']",Infectious_disease_binary ~ CLIMATIC_lag1 + CLIMATIC_lag2,0.6091159581055737,0.5574751386407674
mod_31,global,,"['CLIMATIC_lag1', 'CLIMATIC_lag3']",Infectious_disease_binary ~ CLIMATIC_lag1 + CLIMATIC_lag3,0.5934438161084393,0.563877510051564
mod_32,global,,"['CLIMATIC_lag1', 'CLIMATIC_lag4']",Infectious_disease_binary ~ CLIMATIC_lag1 + CLIMATIC_lag4,0.5950119353121887,0.5764419844930175
mod_33,global,,"['CLIMATIC_lag1', 'CLIMATIC_lag5']",Infectious_disease_binary ~ CLIMATIC_lag1 + CLIMATIC_lag5,0.579097530710434,0.5888483632406983
mod_34,global,,"['CLIMATIC_lag1', 'CONFLICTS_lag1']",Infectious_disease_binary ~ CLIMATIC_lag1 + CONFLICTS_lag1,0.5988042205033477,0.5567270334624824
mod_35,global,,"['CLIMATIC_lag1', 'CONFLICTS_lag2']",Infectious_disease_binary ~ CLIMATIC_lag1 + CONFLICTS_lag2,0.5969124912571446,0.5590939087875153
mod_36,global,,"['CLIMATIC_lag1', 'CONFLICTS_lag3']",Infectious_disease_binary ~ CLIMATIC_lag1 + CONFLICTS_lag3,0.5826691635552992,0.5644638324807518
mod_37,global,,"['CLIMATIC_lag1', 'CONFLICTS_lag4']",Infectious_disease_binary ~ CLIMATIC_lag1 + CONFLICTS_lag4,0.5835656284086778,0.5782776533898882
mod_38,global,,"['CLIMATIC_lag1', 'CONFLICTS_lag5']",Infectious_disease_binary ~ CLIMATIC_lag1 + CONFLICTS_lag5,0.5742640682156812,0.5887989257116086
mod_39,global,,"['CLIMATIC_lag1', 'ECOLOGICAL_lag1']",Infectious_disease_binary ~ CLIMATIC_lag1 + ECOLOGICAL_lag1,0.5921456120769627,0.5567565939409345
mod_40,global,,"['CLIMATIC_lag1', 'ECOLOGICAL_lag2']",Infectious_disease_binary ~ CLIMATIC_lag1 + ECOLOGICAL_lag2,0.5925666795860454,0.5590975314852475
mod_41,global,,"['CLIMATIC_lag1', 'ECOLOGICAL_lag3']",Infectious_disease_binary ~ CLIMATIC_lag1 + ECOLOGICAL_lag3,0.5878511493222545,0.5645063952682886
mod_42,global,,"['CLIMATIC_lag1', 'ECOLOGICAL_lag4']",Infectious_disease_binary ~ CLIMATIC_lag1 + ECOLOGICAL_lag4,0.5825541568083974,0.578409502542549
mod_43,global,,"['CLIMATIC_lag1', 'ECOLOGICAL_lag5']",Infectious_disease_binary ~ CLIMATIC_lag1 + ECOLOGICAL_lag5,0.5800033904872615,0.5891742819976231
mod_44,global,,"['CLIMATIC_lag1', 'ECONOMIC_lag1']",Infectious_disease_binary ~ CLIMATIC_lag1 + ECONOMIC_lag1,0.611062371754568,0.553746955900273
mod_45,global,,"['CLIMATIC_lag1', 'ECONOMIC_lag2']",Infectious_disease_binary ~ CLIMATIC_lag1 + ECONOMIC_lag2,0.5985982474194655,0.5581229746829968
mod_46,global,,"['CLIMATIC_lag1', 'ECONOMIC_lag3']",Infectious_disease_binary ~ CLIMATIC_lag1 + ECONOMIC_lag3,0.5974583083254736,0.5637436487737701
mod_47,global,,"['CLIMATIC_lag1', 'ECONOMIC_lag4']",Infectious_disease_binary ~ CLIMATIC_lag1 + ECONOMIC_lag4,0.5921975201951806,0.5772646690443297
mod_48,global,,"['CLIMATIC_lag1', 'ECONOMIC_lag5']",Infectious_disease_binary ~ CLIMATIC_lag1 + ECONOMIC_lag5,0.5976734222701964,0.5849911613824083
mod_49,global,,"['CLIMATIC_lag1', 'GEOPHYSICAL_lag1']",Infectious_disease_binary ~ CLIMATIC_lag1 + GEOPHYSICAL_lag1,0.5899413746773048,0.5567151787546616
mod_50,global,,"['CLIMATIC_lag1', 'GEOPHYSICAL_lag2']",Infectious_disease_binary ~ CLIMATIC_lag1 + GEOPHYSICAL_lag2,0.595026484726176,0.5579490504172228
mod_51,global,,"['CLIMATIC_lag1', 'GEOPHYSICAL_lag3']",Infectious_disease_binary ~ CLIMATIC_lag1 + GEOPHYSICAL_lag3,0.5883999419298013,0.5644936918771716
mod_52,global,,"['CLIMATIC_lag1', 'GEOPHYSICAL_lag4']",Infectious_disease_binary ~ CLIMATIC_lag1 + GEOPHYSICAL_lag4,0.5810924104061167,0.578910151033168
mod_53,global,,"['CLIMATIC_lag1', 'GEOPHYSICAL_lag5']",Infectious_disease_binary ~ CLIMATIC_lag1 + GEOPHYSICAL_lag5,0.5762453121324089,0.5891277598586067
mod_54,global,,"['CLIMATIC_lag1', 'TECHNOLOGICAL_lag1']",Infectious_disease_binary ~ CLIMATIC_lag1 + TECHNOLOGICAL_lag1,0.6138356411418655,0.5530174569218488
mod_55,global,,"['CLIMATIC_lag1', 'TECHNOLOGICAL_lag2']",Infectious_disease_binary ~ CLIMATIC_lag1 + TECHNOLOGICAL_lag2,0.6051768841131738,0.5564572946708439
mod_56,global,,"['CLIMATIC_lag1', 'TECHNOLOGICAL_lag3']",Infectious_disease_binary ~ CLIMATIC_lag1 + TECHNOLOGICAL_lag3,0.6079625836951353,0.5607988581925879
mod_57,global,,"['CLIMATIC_lag1', 'TECHNOLOGICAL_lag4']",Infectious_disease_binary ~ CLIMATIC_lag1 + TECHNOLOGICAL_lag4,0.6024062959430477,0.5711586004519863
mod_58,global,,"['CLIMATIC_lag1', 'TECHNOLOGICAL_lag5']",Infectious_disease_binary ~ CLIMATIC_lag1 + TECHNOLOGICAL_lag5,0.6017613235355171,0.5815661034850501
mod_59,global,,"['CLIMATIC_lag2', 'CLIMATIC_lag3']",Infectious_disease_binary ~ CLIMATIC_lag2 + CLIMATIC_lag3,0.5990028684339753,0.563264686426469
mod_60,global,,"['CLIMATIC_lag2', 'CLIMATIC_lag4']",Infectious_disease_binary ~ CLIMATIC_lag2 + CLIMATIC_lag4,0.5974588060472248,0.5761497094400918
